word1,word2,n,decade
NA,NA,863,1920s
south,carolina,65,1920s
colored,people,41,1920s
national,association,28,1920s
anti,lynching,27,1920s
grand,jury,24,1920s
mob,violence,24,1920s
lynch,law,15,1920s
supreme,court,13,1920s
klux,klan,11,1920s
ku,klux,11,1920s
white,people,11,1920s
bertha,lowman,10,1920s
governor,mcleod,10,1920s
lynching,bill,10,1920s
lynching,law,10,1920s
negro,press,10,1920s
wythe,county,10,1920s
york,world,10,1920s
county,jail,9,1920s
federal,anti,9,1920s
mob,bent,9,1920s
public,sentiment,9,1920s
walter,white,9,1920s
white,woman,9,1920s
american,citizens,8,1920s
dyer,bill,8,1920s
york,times,8,1920s
carolina,lynching,7,1920s
colored,woman,7,1920s
court,house,7,1920s
dyer,anti,7,1920s
guilty,parties,7,1920s
jackson,miss,7,1920s
mob,law,7,1920s
north,carolina,7,1920s
white,citizens,7,1920s
white,girl,7,1920s
aiken,county,6,1920s
inter,racial,6,1920s
mob,lynched,6,1920s
mob,lynchings,6,1920s
mob,vio,6,1920s
race,relations,6,1920s
south,caro,6,1920s
war,hero,6,1920s
aiken,south,5,1920s
democratic,convention,5,1920s
demon,lowman,5,1920s
deputy,sheriffs,5,1920s
found,guilty,5,1920s
ga,aug,5,1920s
interracial,committee,5,1920s
law,abiding,5,1920s
law,enforcement,5,1920s
negro,boy,5,1920s
oklahoma,city,5,1920s
page,1,5,1920s
paris,texas,5,1920s
raymond,bird,5,1920s
sept,1,5,1920s
sheriff,howard,5,1920s
times,dispatch,5,1920s
weeks,ago,5,1920s
aiken,lynching,4,1920s
annie,lowman,4,1920s
anti,lynch,4,1920s
antilynching,bill,4,1920s
atlanta,ga,4,1920s
bertha,demon,4,1920s
bronze,medal,4,1920s
colored,women,4,1920s
days,ago,4,1920s
dr,cadman,4,1920s
dyer,antilynching,4,1920s
federal,government,4,1920s
federal,law,4,1920s
guilty,persons,4,1920s
home,demonstration,4,1920s
james,scott,4,1920s
james,weldon,4,1920s
kansas,city,4,1920s
life,imprisonment,4,1920s
mass,meeting,4,1920s
neale,hurston,4,1920s
negro,race,4,1920s
past,week,4,1920s
prevent,lynching,4,1920s
public,square,4,1920s
race,riots,4,1920s
richmond,times,4,1920s
sheriff,robinson,4,1920s
south,carolina's,4,1920s
st,louis,4,1920s
training,school,4,1920s
weldon,johnson,4,1920s
white,supremacy,4,1920s
aiken,inquiry,3,1920s
alken,lynching,3,1920s
american,citizenship,3,1920s
american,negro,3,1920s
april,25,3,1920s
april,28,3,1920s
arrested,charged,3,1920s
attempted,rape,3,1920s
awaiting,trial,3,1920s
bertha,low,3,1920s
called,attention,3,1920s
citizenship,means,3,1920s
city,okla,3,1920s
clarence,lowman,3,1920s
color,line,3,1920s
colored,girl,3,1920s
colored,peo,3,1920s
committee,composed,3,1920s
commonwealth's,attorney,3,1920s
county,attorney,3,1920s
crime,charged,3,1920s
criminal,assault,3,1920s
dallas,news,3,1920s
decent,citizens,3,1920s
deputy,sheriff,3,1920s
determined,effort,3,1920s
due,diligence,3,1920s
duluth,minn,3,1920s
east,st,3,1920s
fellow,citizens,3,1920s
firmly,courageous,3,1920s
georgia,race,3,1920s
gratifying,decline,3,1920s
greatly,decreased,3,1920s
habeas,corpus,3,1920s
health,nurse,3,1920s
heavily,armed,3,1920s
herald,courier,3,1920s
herman,arthur,3,1920s
houston,tex,3,1920s
houston,texas,3,1920s
infant,welfare,3,1920s
ing,bill,3,1920s
interracial,commission,3,1920s
judge,horace,3,1920s
judge,lanham,3,1920s
judge,lynch,3,1920s
jury's,verdict,3,1920s
klan,held,3,1920s
late,sheriff,3,1920s
law,1,3,1920s
ledger,dispatch,3,1920s
legal,protection,3,1920s
lynching,bee,3,1920s
lynching,south,3,1920s
miss,april,3,1920s
mob,murder,3,1920s
mob,rule,3,1920s
months,ago,3,1920s
negro,citizens,3,1920s
negro,women,3,1920s
news,service,3,1920s
night,riders,3,1920s
october,8,3,1920s
okla,sept,3,1920s
