word1,word2,n,decade
NA,NA,1768,1930s
anti,lynching,66,1930s
grand,jury,52,1930s
white,woman,49,1930s
mob,violence,46,1930s
white,women,39,1930s
lynching,bill,37,1930s
colored,people,36,1930s
supreme,court,30,1930s
federal,anti,29,1930s
county,jail,25,1930s
southern,white,25,1930s
anti,lynch,24,1930s
lynch,law,23,1930s
lynching,law,23,1930s
national,association,22,1930s
mob,lynched,21,1930s
southern,women,20,1930s
south,carolina,19,1930s
eastern,shore,16,1930s
federal,government,16,1930s
duck,hill,15,1930s
labor,defense,15,1930s
state's,attorney,14,1930s
white,girl,14,1930s
international,labor,13,1930s
mob,murder,13,1930s
negro,boys,13,1930s
page,1,13,1930s
white,people,13,1930s
friday,night,12,1930s
lynch,bill,12,1930s
marion,ind,12,1930s
president,roosevelt,12,1930s
kelly,miller,11,1930s
white,citizens,11,1930s
white,house,11,1930s
white,man's,11,1930s
black,legion,10,1930s
court,house,10,1930s
law,enforcement,10,1930s
national,guard,10,1930s
snow,hill,10,1930s
tear,gas,10,1930s
wagner,bill,10,1930s
walter,white,10,1930s
west,virginia,10,1930s
claude,neal,9,1930s
jerome,wilson,9,1930s
mob,rule,9,1930s
negro,race,9,1930s
north,carolina,9,1930s
race,hatred,9,1930s
sheriff,campbell,9,1930s
st,joseph,9,1930s
york,city,9,1930s
city,jail,8,1930s
colored,citizens,8,1930s
county,grand,8,1930s
governor,rolph,8,1930s
lynching,mob,8,1930s
mob,leaders,8,1930s
princess,anne,8,1930s
public,opinion,8,1930s
race,prejudice,8,1930s
racial,persecution,8,1930s
saturday,night,8,1930s
senator,kean,8,1930s
trade,union,8,1930s
weeks,ago,8,1930s
white,farmer,8,1930s
white,youth,8,1930s
york,jan,8,1930s
blow,torch,7,1930s
colored,woman,7,1930s
dear,sir,7,1930s
deputy,sheriff,7,1930s
electric,chair,7,1930s
grant,county,7,1930s
greenbrier,county,7,1930s
haldeman,julius,7,1930s
henry,county,7,1930s
joseph,mo,7,1930s
lloyd,warner,7,1930s
local,authorities,7,1930s
mob,murders,7,1930s
negro,press,7,1930s
negro,workers,7,1930s
public,spectacle,7,1930s
recent,lynching,7,1930s
san,jose,7,1930s
stop,lynching,7,1930s
white,lover,7,1930s
white,workers,7,1930s
william,pickens,7,1930s
alabama,supreme,6,1930s
allen,green,6,1930s
american,people,6,1930s
atlanta,constitution,6,1930s
bibb,graves,6,1930s
birmingham,ala,6,1930s
black,liar,6,1930s
colored,women,6,1930s
coroner's,jury,6,1930s
county,court,6,1930s
criminal,record,6,1930s
dr,haynes,6,1930s
guilty,parties,6,1930s
huntsville,ala,6,1930s
jersey,city,6,1930s
june,1,6,1930s
klux,klan,6,1930s
ku,klux,6,1930s
law,abiding,6,1930s
life,insurance,6,1930s
lynched,wrong,6,1930s
mob,bent,6,1930s
monday,night,6,1930s
national,guardsmen,6,1930s
national,office,6,1930s
police,officers,6,1930s
preme,court,6,1930s
public,officials,6,1930s
recent,months,6,1930s
scottsboro,boys,6,1930s
strange,negro,6,1930s
sunday,morning,6,1930s
30,days,5,1930s
abe,smith,5,1930s
american,legion,5,1930s
american,negro,5,1930s
armwood,lynching,5,1930s
atlanta,ga,5,1930s
blood,thirsty,5,1930s
bolivar,county,5,1930s
circuit,court,5,1930s
coahoma,county,5,1930s
colored,peo,5,1930s
costigan,wagner,5,1930s
daily,newspapers,5,1930s
days,ago,5,1930s
equal,rights,5,1930s
