docname,from,to,pre,keyword,post,pattern,...1,file_id,article_id,sn,newspaper_name,year,month,day,page,edition,mod_id,URL,newspaper_state,filepath,URL2
14053_0.txt,122,122,"a mob dragged two negro couples out of a car and killed shotgun . job neatly and methodically done as if it had been well planned . while the bodies were still warm and the mob melted into the bleeding , protecting countryside . by the perverted code of lynch law it had done a good day's work , american , but by the standards of justice and human decency , it had the state of georgia and befouled shamed the whole nation . question : who was responsible this cowardly and despicable for act ? not the ku klux",klan,", surely ! no the klan "" had nothing to do "" with it . there are not even any klansmen in monroe , says samuel green the august grand dragon , of that hooded order . the conscience of the klan is white as driven snow , for it does condone such savagery . not the klan does not advocate lynehings in its public ceremonials . it does not wear "" murder "" embroidered on its fancy night- shirts the ku klux klan only sows the little seeds of bigotry and hatred , it only implants the virulent poisons",Klan,1619,14053,0,sn83025247,"Minneapolis spokesman (Minneapolis, Mi...)",1946,8,2,seq-4,ed-1,1,http://localhost:62222/pages/14053/mnhi_croquet_ver01/sn83025247/1946/08/02/ed-1/seq-4/1,Minnesota,/Users/robwells/Code/hcij_lynching_phase_two/articles_cleaned_2023_03_08/14053_0.txt,http://articleextractor.org/pages/14053/mnhi_croquet_ver01/sn83025247/1946/08/02/ed-1/seq-4/1
14053_0.txt,128,128,"out of a car and killed shotgun . job neatly and methodically done as if it had been well planned . while the bodies were still warm and the mob melted into the bleeding , protecting countryside . by the perverted code of lynch law it had done a good day's work , american , but by the standards of justice and human decency , it had the state of georgia and befouled shamed the whole nation . question : who was responsible this cowardly and despicable for act ? not the ku klux klan , surely ! no the",klan,""" had nothing to do "" with it . there are not even any klansmen in monroe , says samuel green the august grand dragon , of that hooded order . the conscience of the klan is white as driven snow , for it does condone such savagery . not the klan does not advocate lynehings in its public ceremonials . it does not wear "" murder "" embroidered on its fancy night- shirts the ku klux klan only sows the little seeds of bigotry and hatred , it only implants the virulent poisons of race prejudice in warped and",Klan,1619,14053,0,sn83025247,"Minneapolis spokesman (Minneapolis, Mi...)",1946,8,2,seq-4,ed-1,1,http://localhost:62222/pages/14053/mnhi_croquet_ver01/sn83025247/1946/08/02/ed-1/seq-4/1,Minnesota,/Users/robwells/Code/hcij_lynching_phase_two/articles_cleaned_2023_03_08/14053_0.txt,http://articleextractor.org/pages/14053/mnhi_croquet_ver01/sn83025247/1946/08/02/ed-1/seq-4/1
14053_0.txt,143,143,"it had been well planned . while the bodies were still warm and the mob melted into the bleeding , protecting countryside . by the perverted code of lynch law it had done a good day's work , american , but by the standards of justice and human decency , it had the state of georgia and befouled shamed the whole nation . question : who was responsible this cowardly and despicable for act ? not the ku klux klan , surely ! no the klan "" had nothing to do "" with it . there are not even any",klansmen,"in monroe , says samuel green the august grand dragon , of that hooded order . the conscience of the klan is white as driven snow , for it does condone such savagery . not the klan does not advocate lynehings in its public ceremonials . it does not wear "" murder "" embroidered on its fancy night- shirts the ku klux klan only sows the little seeds of bigotry and hatred , it only implants the virulent poisons of race prejudice in warped and vengeful minds . it only whips up latent angers , and moulds them into violent",Klan,1619,14053,0,sn83025247,"Minneapolis spokesman (Minneapolis, Mi...)",1946,8,2,seq-4,ed-1,1,http://localhost:62222/pages/14053/mnhi_croquet_ver01/sn83025247/1946/08/02/ed-1/seq-4/1,Minnesota,/Users/robwells/Code/hcij_lynching_phase_two/articles_cleaned_2023_03_08/14053_0.txt,http://articleextractor.org/pages/14053/mnhi_croquet_ver01/sn83025247/1946/08/02/ed-1/seq-4/1
14053_0.txt,164,164,"countryside . by the perverted code of lynch law it had done a good day's work , american , but by the standards of justice and human decency , it had the state of georgia and befouled shamed the whole nation . question : who was responsible this cowardly and despicable for act ? not the ku klux klan , surely ! no the klan "" had nothing to do "" with it . there are not even any klansmen in monroe , says samuel green the august grand dragon , of that hooded order . the conscience of the",klan,"is white as driven snow , for it does condone such savagery . not the klan does not advocate lynehings in its public ceremonials . it does not wear "" murder "" embroidered on its fancy night- shirts the ku klux klan only sows the little seeds of bigotry and hatred , it only implants the virulent poisons of race prejudice in warped and vengeful minds . it only whips up latent angers , and moulds them into violent forms . but the klan , says grand dragon grethe is on responsible for mob no that killed four negroes near",Klan,1619,14053,0,sn83025247,"Minneapolis spokesman (Minneapolis, Mi...)",1946,8,2,seq-4,ed-1,1,http://localhost:62222/pages/14053/mnhi_croquet_ver01/sn83025247/1946/08/02/ed-1/seq-4/1,Minnesota,/Users/robwells/Code/hcij_lynching_phase_two/articles_cleaned_2023_03_08/14053_0.txt,http://articleextractor.org/pages/14053/mnhi_croquet_ver01/sn83025247/1946/08/02/ed-1/seq-4/1
14053_0.txt,180,180,", american , but by the standards of justice and human decency , it had the state of georgia and befouled shamed the whole nation . question : who was responsible this cowardly and despicable for act ? not the ku klux klan , surely ! no the klan "" had nothing to do "" with it . there are not even any klansmen in monroe , says samuel green the august grand dragon , of that hooded order . the conscience of the klan is white as driven snow , for it does condone such savagery . not the",klan,"does not advocate lynehings in its public ceremonials . it does not wear "" murder "" embroidered on its fancy night- shirts the ku klux klan only sows the little seeds of bigotry and hatred , it only implants the virulent poisons of race prejudice in warped and vengeful minds . it only whips up latent angers , and moulds them into violent forms . but the klan , says grand dragon grethe is on responsible for mob no that killed four negroes near roe . mon let us search further , then . what talmadge , georgia's of eugene",Klan,1619,14053,0,sn83025247,"Minneapolis spokesman (Minneapolis, Mi...)",1946,8,2,seq-4,ed-1,1,http://localhost:62222/pages/14053/mnhi_croquet_ver01/sn83025247/1946/08/02/ed-1/seq-4/1,Minnesota,/Users/robwells/Code/hcij_lynching_phase_two/articles_cleaned_2023_03_08/14053_0.txt,http://articleextractor.org/pages/14053/mnhi_croquet_ver01/sn83025247/1946/08/02/ed-1/seq-4/1
14053_0.txt,206,206,"question : who was responsible this cowardly and despicable for act ? not the ku klux klan , surely ! no the klan "" had nothing to do "" with it . there are not even any klansmen in monroe , says samuel green the august grand dragon , of that hooded order . the conscience of the klan is white as driven snow , for it does condone such savagery . not the klan does not advocate lynehings in its public ceremonials . it does not wear "" murder "" embroidered on its fancy night- shirts the ku klux",klan,"only sows the little seeds of bigotry and hatred , it only implants the virulent poisons of race prejudice in warped and vengeful minds . it only whips up latent angers , and moulds them into violent forms . but the klan , says grand dragon grethe is on responsible for mob no that killed four negroes near roe . mon let us search further , then . what talmadge , georgia's of eugene governor- elect ? does he bear any part of black burden of responsibility for what has happened at monroe ? why no , obviously , for",Klan,1619,14053,0,sn83025247,"Minneapolis spokesman (Minneapolis, Mi...)",1946,8,2,seq-4,ed-1,1,http://localhost:62222/pages/14053/mnhi_croquet_ver01/sn83025247/1946/08/02/ed-1/seq-4/1,Minnesota,/Users/robwells/Code/hcij_lynching_phase_two/articles_cleaned_2023_03_08/14053_0.txt,http://articleextractor.org/pages/14053/mnhi_croquet_ver01/sn83025247/1946/08/02/ed-1/seq-4/1
14053_0.txt,248,248,"samuel green the august grand dragon , of that hooded order . the conscience of the klan is white as driven snow , for it does condone such savagery . not the klan does not advocate lynehings in its public ceremonials . it does not wear "" murder "" embroidered on its fancy night- shirts the ku klux klan only sows the little seeds of bigotry and hatred , it only implants the virulent poisons of race prejudice in warped and vengeful minds . it only whips up latent angers , and moulds them into violent forms . but the",klan,", says grand dragon grethe is on responsible for mob no that killed four negroes near roe . mon let us search further , then . what talmadge , georgia's of eugene governor- elect ? does he bear any part of black burden of responsibility for what has happened at monroe ? why no , obviously , for out in cheyenne , wyo . , where mr . talmadge vacations after victory , he looks with pious disapproval on the crime . it is , he says , "" an act to be regretted . "" a pale word ,",Klan,1619,14053,0,sn83025247,"Minneapolis spokesman (Minneapolis, Mi...)",1946,8,2,seq-4,ed-1,1,http://localhost:62222/pages/14053/mnhi_croquet_ver01/sn83025247/1946/08/02/ed-1/seq-4/1,Minnesota,/Users/robwells/Code/hcij_lynching_phase_two/articles_cleaned_2023_03_08/14053_0.txt,http://articleextractor.org/pages/14053/mnhi_croquet_ver01/sn83025247/1946/08/02/ed-1/seq-4/1
14053_0.txt,518,518,"no , gene talmadge only feeds the fires of race warfare . he only stumps the state for "" white su vicious and scatters premacy "" hatreds in his wake . he only stirs up the dregs of bitterness in stupid minds , and through artful political the baser pas- appeals arouses tal- , sions of the bigot . does mr . madge , then , bear no responsibility for the massacre at monroe ? why he says is much to be "" regretted . "" the tal- conscience is obviously clean madge and clear . but if not the",klan,", and if not mr . talmadge , who ? senator bilbo of mississippi , who advocates "" persuasive "" methods with the negro ? representative rankin who joins , him in blatant bigotry ? are with they in any way responsible ? perish the thought- these gentle- men merely sow the unpretentious winds of hate that later must be reaped as whirlwinds of disaster . the responsibility for monroe does not rest here , either- save as who seeks to it rests on everyone divide the american people , who separates them with a wedge of hatred and distrust",Klan,1619,14053,0,sn83025247,"Minneapolis spokesman (Minneapolis, Mi...)",1946,8,2,seq-4,ed-1,1,http://localhost:62222/pages/14053/mnhi_croquet_ver01/sn83025247/1946/08/02/ed-1/seq-4/1,Minnesota,/Users/robwells/Code/hcij_lynching_phase_two/articles_cleaned_2023_03_08/14053_0.txt,http://articleextractor.org/pages/14053/mnhi_croquet_ver01/sn83025247/1946/08/02/ed-1/seq-4/1
14053_0.txt,658,658,"any way responsible ? perish the thought- these gentle- men merely sow the unpretentious winds of hate that later must be reaped as whirlwinds of disaster . the responsibility for monroe does not rest here , either- save as who seeks to it rests on everyone divide the american people , who separates them with a wedge of hatred and distrust , who preaches the master race philosophies , who sets side as inferior , and unworthy of the rights intended for the as a people in that sense , the crime of mon roe is inseparable from the hooded",klansmen,", from the talmadges and bilbos and rankins , and from all of those who attempt , either privately or officially , to foster the of race hatred in this country doctrines . the mob kills , but it is the bigot in high places who gives false courage to the mob . the embers of violence need to be fanned with ignorance and intolerance before they burst into a livid flame . in fixing the responsibilities for monroe then , look carefully for all who bear , a fan .",Klan,1619,14053,0,sn83025247,"Minneapolis spokesman (Minneapolis, Mi...)",1946,8,2,seq-4,ed-1,1,http://localhost:62222/pages/14053/mnhi_croquet_ver01/sn83025247/1946/08/02/ed-1/seq-4/1,Minnesota,/Users/robwells/Code/hcij_lynching_phase_two/articles_cleaned_2023_03_08/14053_0.txt,http://articleextractor.org/pages/14053/mnhi_croquet_ver01/sn83025247/1946/08/02/ed-1/seq-4/1
14053_1.txt,77,77,"lynchings in georgia ( editorial in minneapolis star- journal perhaps it isn't reasonable to hold ) eugene talmadge , georgia's former and future governor , responsible for the lynching of four ne- groes the other day . but the hate philosophy which motivated the assassins was the same that tal madge espoused in his recent campaign - the supposed supremacy native- born whites , of that sort of "" idealism "" purposes the reviving ku klux",klan,"and was the battle cry for rankin and bilbo before the recent mississippi election . it is not explanation enough , even though the former governor of mississippi made it in minneapolis yesterday , to say that mississippians were showing their resentment at the interference of drew pearson and walter winchell when they bilbo and rankin back into congress voted . to the credit of georgia the , popular vote went against tal- madge . but the unit vote at least two units for the least populated counties and no more than six for the largest- gave the small ,",Klan,1611,14053,1,sn83025247,"Minneapolis spokesman (Minneapolis, Mi...)",1946,8,2,seq-4,ed-1,1,http://localhost:62222/pages/14053/mnhi_croquet_ver01/sn83025247/1946/08/02/ed-1/seq-4/1,Minnesota,/Users/robwells/Code/hcij_lynching_phase_two/articles_cleaned_2023_03_08/14053_1.txt,http://articleextractor.org/pages/14053/mnhi_croquet_ver01/sn83025247/1946/08/02/ed-1/seq-4/1
