docname,from,to,pre,keyword,post,pattern,...1,file_id,article_id,sn,newspaper_name,year,month,day,page,edition,mod_id,URL,newspaper_state,filepath
13735_0.txt,72,72,"and others , proceeded to the jail , resisted the sheriff , and carried off william grayson , a free",negro,". they dragged him to the woods , where they hung him dead . the cause of this high- handed",negro,2766,13735,0,sn86071377,"The mountain sentinel (Ebensburg, Pa.)",1850,8,1,seq-3,ed-1,1,http://localhost:62222/pages/13735/pst_kern_ver01/sn86071377/1850/08/01/ed-1/seq-3/1,Pennsylvania,/Users/robwells/Code/hcij_lynching_phase_two/articles_cleaned_2023_03_08/13735_0.txt
13740_0.txt,30,30,"south carolina , in which he begged that the name of the state be not disgraced , a mob lynched",negro,. a,negro,1855,13740,0,sn87052181,Fair play (Ste. Genevieve ...),1906,8,25,seq-1,ed-1,1,http://localhost:62222/pages/13740/mohi_gordon_ver01/sn87052181/1906/08/25/ed-1/seq-1/1,Missouri,/Users/robwells/Code/hcij_lynching_phase_two/articles_cleaned_2023_03_08/13740_0.txt
13741_0.txt,4,4,lynched . kentucky,negro,"prisoner accused of attempting to en ter girl's room . elkton , ky . , oct . 13 . -",negro,2880,13741,0,sn99062034,"The Madison daily leader (Madison, S.D.)",1905,10,13,seq-1,ed-1,1,http://localhost:62222/pages/13741/sdhi_grenada_ver01/sn99062034/1905/10/13/ed-1/seq-1/1,South Dakota,/Users/robwells/Code/hcij_lynching_phase_two/articles_cleaned_2023_03_08/13741_0.txt
13741_0.txt,45,45,"shortly after midnight a mob of 1,000 , supposed to be from trenton , took frank leavell , one- legged",negro,", from the jail here a and lynched him in a nearby wood . leavell was arrested on the charge",negro,2880,13741,0,sn99062034,"The Madison daily leader (Madison, S.D.)",1905,10,13,seq-1,ed-1,1,http://localhost:62222/pages/13741/sdhi_grenada_ver01/sn99062034/1905/10/13/ed-1/seq-1/1,South Dakota,/Users/robwells/Code/hcij_lynching_phase_two/articles_cleaned_2023_03_08/13741_0.txt
13743_0.txt,39,39,", tex . , dec . 26 . - while a quartet of prisoners led by tom johnson , a",negro,"serving a sentence for assault to murder , sang "" god be with you till we meet again . george",negro,825,13743,0,sn95026977,"Gainesville daily sun. (Gainesville, Fl...)",1905,12,27,seq-1,ed-1,1,http://localhost:62222/pages/13743/fu_six_ver01/sn95026977/1905/12/27/ed-1/seq-1/1,Florida,/Users/robwells/Code/hcij_lynching_phase_two/articles_cleaned_2023_03_08/13743_0.txt
13744_0.txt,8,8,small race riot . white men and,negroes,"shot in lynch- burg , va . lynchburg , va . , april 4 . - a small race riot",negro,3316,13744,0,sn91066782,NA,1907,4,4,seq-1,ed-1,1,http://localhost:62222/pages/13744/vtu_broccoli_ver01/sn91066782/1907/04/04/ed-1/seq-1/1,Vermont,/Users/robwells/Code/hcij_lynching_phase_two/articles_cleaned_2023_03_08/13744_0.txt
13744_0.txt,46,46,"small race riot occurred late last night at fifth and main streets , in which two white men and two",negroes,"were shot , one of the negroes ' wounds probably being fatal . all have removed to the hospital .",negro,3316,13744,0,sn91066782,NA,1907,4,4,seq-1,ed-1,1,http://localhost:62222/pages/13744/vtu_broccoli_ver01/sn91066782/1907/04/04/ed-1/seq-1/1,Vermont,/Users/robwells/Code/hcij_lynching_phase_two/articles_cleaned_2023_03_08/13744_0.txt
13744_0.txt,53,53,"at fifth and main streets , in which two white men and two negroes were shot , one of the",negroes,' wounds probably being fatal . all have removed to the hospital . been,negro,3316,13744,0,sn91066782,NA,1907,4,4,seq-1,ed-1,1,http://localhost:62222/pages/13744/vtu_broccoli_ver01/sn91066782/1907/04/04/ed-1/seq-1/1,Vermont,/Users/robwells/Code/hcij_lynching_phase_two/articles_cleaned_2023_03_08/13744_0.txt
13745_0.txt,8,8,miss grace marvin was assaulted by a,negro,"cabman at logansport , ind . , the fiend narrowly escaped lynch ing and .",negro,1416,13745,0,sn85034248,"The Donaldsonville chief (Donaldsonville,...)",1907,10,19,seq-1,ed-1,1,http://localhost:62222/pages/13745/lu_bolivar_ver01/sn85034248/1907/10/19/ed-1/seq-1/1,Louisiana,/Users/robwells/Code/hcij_lynching_phase_two/articles_cleaned_2023_03_08/13745_0.txt
13745_0.txt,17,17,"miss grace marvin was assaulted by a negro cabman at logansport , ind . , the",fiend,narrowly escaped lynch ing and .,fiend,1416,13745,0,sn85034248,"The Donaldsonville chief (Donaldsonville,...)",1907,10,19,seq-1,ed-1,1,http://localhost:62222/pages/13745/lu_bolivar_ver01/sn85034248/1907/10/19/ed-1/seq-1/1,Louisiana,/Users/robwells/Code/hcij_lynching_phase_two/articles_cleaned_2023_03_08/13745_0.txt
