docname,from,to,pre,keyword,post,pattern,...1,...2,file_id,article_id,sn,newspaper_name,year,month,day,page,edition,mod_id,URL,newspaper_state,file_id2,index
13735_0.txt,72,72,"and others , proceeded to the jail , resisted the sheriff , and carried off william grayson , a free",negro,". they dragged him to the woods , where they hung him dead . the cause of this high- handed",negro,865,521673,13735,0,sn86071377,"The mountain sentinel (Ebensburg, Pa.)",1850,8,1,seq-3,ed-1,1,https://articleextractor.org/pages/13735/pst_kern_ver01/sn86071377/1850/08/01/ed-1/seq-3/1,Pennsylvania,13735_0,1
13737_0.txt,31,33,"ing to bring lynchers to punishment , republican candidatos and republican nowspapers in that stato declare themselves in favor of",the lynching of,"nogroes who attempt or commit oertain diabolical crimes . nowtou hacker , attornoy- gen oral of the first judicial cironit",the lynching of,866,46533,13737,0,sn84031492,"Chicago daily tribune (Chicago, Ill.) 1872-1963",1874,9,28,seq-2,ed-1,1,https://articleextractor.org/pages/13737/dlc_fullerton_ver02/sn84031492/1874/09/28/ed-1/seq-2/1,Illinois,13737_0,2
13740_0.txt,30,30,"south carolina , in which he begged that the name of the state be not disgraced , a mob lynched",negro,. a,negro,867,309673,13740,0,sn87052181,Fair play (Ste. Genevieve ...),1906,8,25,seq-1,ed-1,1,https://articleextractor.org/pages/13740/mohi_gordon_ver01/sn87052181/1906/08/25/ed-1/seq-1/1,Missouri,13740_0,3
13741_0.txt,1,1,,negro,"kentucky lynched . prisoner accused of attempting to en ter girl's room . elkton , ky . , oct .",negro,868,538657,13741,0,sn99062034,"The Madison daily leader (Madison, S.D.)",1905,10,13,seq-1,ed-1,1,https://articleextractor.org/pages/13741/sdhi_grenada_ver01/sn99062034/1905/10/13/ed-1/seq-1/1,South Dakota,13741_0,4
13741_0.txt,45,45,"shortly after midnight a mob of 1,000 , supposed to be from trenton , took frank leavell , one- legged",negro,", from the jail here a and lynched him in a nearby wood . leavell was arrested on the charge",negro,868,538657,13741,0,sn99062034,"The Madison daily leader (Madison, S.D.)",1905,10,13,seq-1,ed-1,1,https://articleextractor.org/pages/13741/sdhi_grenada_ver01/sn99062034/1905/10/13/ed-1/seq-1/1,South Dakota,13741_0,4
13743_0.txt,39,39,", tex . , dec . 26 . - while a quartet of prisoners led by tom johnson , a",negro,"serving a sentence for assault to murder , sang "" god be with you till we meet again . george",negro,869,62144,13743,0,sn95026977,"Gainesville daily sun. (Gainesville, Fl...)",1905,12,27,seq-1,ed-1,1,https://articleextractor.org/pages/13743/fu_six_ver01/sn95026977/1905/12/27/ed-1/seq-1/1,Florida,13743_0,5
13744_0.txt,8,8,small race riot . white men and,negroes,"shot in lynch- burg , va . lynchburg , va . , april 4 . - a small race riot",negro,870,653599,13744,0,sn91066782,NA,1907,4,4,seq-1,ed-1,1,https://articleextractor.org/pages/13744/vtu_broccoli_ver01/sn91066782/1907/04/04/ed-1/seq-1/1,Vermont,13744_0,6
13744_0.txt,46,46,"small race riot occurred late last night at fifth and main streets , in which two white men and two",negroes,"were shot , one of the negroes ' wounds probably being fatal . all have removed to the hospital .",negro,870,653599,13744,0,sn91066782,NA,1907,4,4,seq-1,ed-1,1,https://articleextractor.org/pages/13744/vtu_broccoli_ver01/sn91066782/1907/04/04/ed-1/seq-1/1,Vermont,13744_0,6
13744_0.txt,53,53,"at fifth and main streets , in which two white men and two negroes were shot , one of the",negroes,' wounds probably being fatal . all have removed to the hospital . been,negro,870,653599,13744,0,sn91066782,NA,1907,4,4,seq-1,ed-1,1,https://articleextractor.org/pages/13744/vtu_broccoli_ver01/sn91066782/1907/04/04/ed-1/seq-1/1,Vermont,13744_0,6
13745_0.txt,8,8,miss grace marvin was assaulted by a,negro,"cabman at logansport , ind . , the fiend narrowly escaped lynch ing and .",negro,871,225877,13745,0,sn85034248,"The Donaldsonville chief (Donaldsonville,...)",1907,10,19,seq-1,ed-1,1,https://articleextractor.org/pages/13745/lu_bolivar_ver01/sn85034248/1907/10/19/ed-1/seq-1/1,Louisiana,13745_0,7
13745_0.txt,17,17,"miss grace marvin was assaulted by a negro cabman at logansport , ind . , the",fiend,narrowly escaped lynch ing and .,fiend,871,225877,13745,0,sn85034248,"The Donaldsonville chief (Donaldsonville,...)",1907,10,19,seq-1,ed-1,1,https://articleextractor.org/pages/13745/lu_bolivar_ver01/sn85034248/1907/10/19/ed-1/seq-1/1,Louisiana,13745_0,7
13745_1.txt,13,13,a three- year- old child left alone in a house with a,negro,"near memphis , tenn . , violated , and a lynching was narrowly was averted .",negro,872,225880,13745,1,sn85034248,"The Donaldsonville chief (Donaldsonville,...)",1907,10,19,seq-1,ed-1,1,https://articleextractor.org/pages/13745/lu_bolivar_ver01/sn85034248/1907/10/19/ed-1/seq-1/1,Louisiana,13745_1,8
13745_2.txt,7,7,"three memphis , tenn . ,",negroes,"charged with burglaries were taken from jail at tunica , . , by an un known mob and lynched miss",negro,873,225881,13745,2,sn85034248,"The Donaldsonville chief (Donaldsonville,...)",1907,10,19,seq-1,ed-1,1,https://articleextractor.org/pages/13745/lu_bolivar_ver01/sn85034248/1907/10/19/ed-1/seq-1/1,Louisiana,13745_2,9
13745_3.txt,2,2,a,negro,"who refused to pay his house rent and killed w . a . sumner at texarkana , ark , was",negro,874,225883,13745,3,sn85034248,"The Donaldsonville chief (Donaldsonville,...)",1907,10,19,seq-1,ed-1,1,https://articleextractor.org/pages/13745/lu_bolivar_ver01/sn85034248/1907/10/19/ed-1/seq-1/1,Louisiana,13745_3,10
13747_0.txt,1,1,,negro,"lynched . hanging followed shooting of five men in louisiana . cola , la . , april 16 . -",negro,875,62083,13747,0,sn95026788,"Live Oak daily Democrat. (Live Oak, Fla.)",1907,4,17,seq-1,ed-1,1,https://articleextractor.org/pages/13747/fu_seven_ver02/sn95026788/1907/04/17/ed-1/seq-1/1,Florida,13747_0,11
13747_0.txt,33,33,"cola , la . , april 16 . - the sequel of the shooting of five white men and two",negroes,"at bunkie , la . , sunday , the lynching of the negro charlie was strauss , near here today",negro,875,62083,13747,0,sn95026788,"Live Oak daily Democrat. (Live Oak, Fla.)",1907,4,17,seq-1,ed-1,1,https://articleextractor.org/pages/13747/fu_seven_ver02/sn95026788/1907/04/17/ed-1/seq-1/1,Florida,13747_0,11
