...1,filename,sentence,file_id2,newspaper_name,newspaper_state,date,year,month,day,page,edition,mod_id,unnamed_0,file_id,article_id,sn,url,filepath
34817,14218_0.txt,A horrible murder and application of,14218_0,"Democratic banner. (Bowling Green, ...)",Missouri,1850-01-14,1850,1,14,seq-2,ed-1,1,6647,14218,0,sn89066057,https://articleextractor.org/pages/14218/mohi_jerome_ver01/sn89066057/1/14/ed-1/seq-2/1,~/Code/hcij_lynching_phase_two/narratives/code/articles_oct_19/14218_0.txt
51570,16948_0.txt,", has the honor of being the birth- place",16948_0,"Wilmington journal (Wilmington, N.C...)",North Carolina,1850-02-15,1850,2,15,seq-4,ed-1,1,8378,16948,0,sn84026536,https://articleextractor.org/pages/16948/ncu_lumber_ver01/sn84026536/2/15/ed-1/seq-4/1,~/Code/hcij_lynching_phase_two/narratives/code/articles_oct_19/16948_0.txt
51812,16948_1.txt,"young man named Mills, was their An empty",16948_1,"Wilmington journal (Wilmington, N.C...)",North Carolina,1850-02-15,1850,2,15,seq-4,ed-1,1,8379,16948,1,sn84026536,https://articleextractor.org/pages/16948/ncu_lumber_ver01/sn84026536/2/15/ed-1/seq-4/1,~/Code/hcij_lynching_phase_two/narratives/code/articles_oct_19/16948_1.txt
52088,16949_0.txt,"As much as the Union is to be loved, it is not",16949_0,The national era (Washington [D.C...),District of Columbia,1850-04-04,1850,4,4,seq-2,ed-1,1,2087,16949,0,sn84026752,https://articleextractor.org/pages/16949/dlc_elf_ver03/sn84026752/4/4/ed-1/seq-2/1,~/Code/hcij_lynching_phase_two/narratives/code/articles_oct_19/16949_0.txt
52121,16950_0.txt,Cassius M. Clay to Daniel Webster.,16950_0,"Kenosha telegraph (Kenosha, Wis.)",Wisconsin,1850-04-19,1850,4,19,seq-1,ed-1,1,13073,16950,0,sn85040305,https://articleextractor.org/pages/16950/whi_dynamite_ver01/sn85040305/4/19/ed-1/seq-1/1,~/Code/hcij_lynching_phase_two/narratives/code/articles_oct_19/16950_0.txt
150299,87498_0.txt,LYNCHING. The two negroes who murdered,87498_0,"Kenosha telegraph (Kenosha, Wis.)",Wisconsin,1850-06-07,1850,6,7,seq-1,ed-1,2,13074,87498,0,sn85040305,https://articleextractor.org/pages/87498/whi_dynamite_ver01/sn85040305/6/7/ed-1/seq-1/2,~/Code/hcij_lynching_phase_two/narratives/code/articles_oct_19/87498_0.txt
52213,16953_0.txt,the,16953_0,Sunday dispatch (New York [N.Y.]) 1845-1854,New York,1850-07-14,1850,7,14,seq-1,ed-1,1,1935,16953,0,sn83030362,https://articleextractor.org/pages/16953/dlc_angelou_ver01/sn83030362/7/14/ed-1/seq-1/1,~/Code/hcij_lynching_phase_two/narratives/code/articles_oct_19/16953_0.txt
33501,13735_0.txt,is,13735_0,"The mountain sentinel (Ebensburg, Pa.)",Pennsylvania,1850-08-01,1850,8,1,seq-3,ed-1,1,10281,13735,0,sn86071377,https://articleextractor.org/pages/13735/pst_kern_ver01/sn86071377/8/1/ed-1/seq-3/1,~/Code/hcij_lynching_phase_two/narratives/code/articles_oct_19/13735_0.txt
34781,14216_0.txt,LYNCH LAW- HIGH HANDED MEASURE.,14216_0,"Eastern times (Bath, Me.)",Maine,1850-08-01,1850,8,1,seq-3,ed-1,1,5257,14216,0,sn82014356,https://articleextractor.org/pages/14216/me_calais_ver02/sn82014356/8/1/ed-1/seq-3/1,~/Code/hcij_lynching_phase_two/narratives/code/articles_oct_19/14216_0.txt
52297,16957_0.txt,MOB VIOLENCE- MAN HUNG.- A dis,16957_0,"The Minnesota pioneer (St. Paul, Minn....)",Minnesota,1850-08-01,1850,8,1,seq-3,ed-1,1,5952,16957,0,sn83025241,https://articleextractor.org/pages/16957/mnhi_foxtrot_ver01/sn83025241/8/1/ed-1/seq-3/1,~/Code/hcij_lynching_phase_two/narratives/code/articles_oct_19/16957_0.txt
52312,16960_0.txt,FROM THE RIO GRANDE.- Mur,16960_0,"Gallipolis journal (Gallipolis, Ohi...)",Ohio,1850-08-08,1850,8,8,seq-2,ed-1,1,9667,16960,0,sn85038121,https://articleextractor.org/pages/16960/ohi_edgar_ver01/sn85038121/8/8/ed-1/seq-2/1,~/Code/hcij_lynching_phase_two/narratives/code/articles_oct_19/16960_0.txt
54067,17040_0.txt,LYNCH LAW IN CALIFORNIA.,17040_0,"Republican vindicator (Staunton, Va.)",Virginia,1850-09-02,1850,9,2,seq-2,ed-1,1,12051,17040,0,sn84024652,https://articleextractor.org/pages/17040/vi_klepper_ver02/sn84024652/9/2/ed-1/seq-2/1,~/Code/hcij_lynching_phase_two/narratives/code/articles_oct_19/17040_0.txt
34805,14217_0.txt,The Lynch Law.,14217_0,"The Portsmouth inquirer (Portsmouth, O. ...)",Ohio,1850-11-11,1850,11,11,seq-3,ed-1,1,9611,14217,0,sn85026203,https://articleextractor.org/pages/14217/ohi_drake_ver01/sn85026203/11/11/ed-1/seq-3/1,~/Code/hcij_lynching_phase_two/narratives/code/articles_oct_19/14217_0.txt
52365,16962_0.txt,BOSTON MOB LAW.- The Chronotype has the,16962_0,The southern press (Washington [D.C...),District of Columbia,1850-11-20,1850,11,20,seq-2,ed-1,1,2075,16962,0,sn82014764,https://articleextractor.org/pages/16962/dlc_elf_ver03/sn82014764/11/20/ed-1/seq-2/1,~/Code/hcij_lynching_phase_two/narratives/code/articles_oct_19/16962_0.txt
52394,16963_0.txt,Lynch Law.,16963_0,"Fremont weekly freeman (Fremont, Sandus...)",Ohio,1850-12-07,1850,12,7,seq-2,ed-1,1,9842,16963,0,sn85026051,https://articleextractor.org/pages/16963/ohi_ingstad_ver01/sn85026051/12/7/ed-1/seq-2/1,~/Code/hcij_lynching_phase_two/narratives/code/articles_oct_19/16963_0.txt
